,rev_Mean,mou_Mean,totmrc_Mean,ovrmou_Mean,vceovr_Mean,datovr_Mean,roam_Mean,change_mou,change_rev,drop_vce_Mean,drop_dat_Mean,blck_vce_Mean,blck_dat_Mean,unan_vce_Mean,unan_dat_Mean,plcd_vce_Mean,plcd_dat_Mean,recv_vce_Mean,recv_sms_Mean,comp_vce_Mean,comp_dat_Mean,custcare_Mean,ccrndmou_Mean,cc_mou_Mean,inonemin_Mean,threeway_Mean,mou_cvce_Mean,mou_cdat_Mean,mou_rvce_Mean,owylis_vce_Mean,mouowylisv_Mean,iwylis_vce_Mean,mouiwylisv_Mean,peak_vce_Mean,peak_dat_Mean,mou_peav_Mean,mou_pead_Mean,opk_vce_Mean,opk_dat_Mean,mou_opkv_Mean,mou_opkd_Mean,drop_blk_Mean,attempt_Mean,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod,asl_flag,totcalls,totmou,totrev,adjrev,adjmou,adjqty,avgrev,avgmou,avgqty,avg3mou,avg3qty,avg3rev,avg6mou,avg6qty,avg6rev,prizm_social_one,area,dualband,refurb_new,hnd_price,phones,models,hnd_webcap,truck,rv,ownrent,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays,is_greater_than_mean,how_much_grater_than_mean,how_many_times_grater_than_mean
0,23.9975,219.25,22.5,0.0,0.0,0.0,0.0,-157.25,-18.9975,0.666666667,0.0,0.666666667,0.0,6.333333333,0.0,52.33333333,0.0,42.33333333,0.0,45.0,0.0,0.0,0.0,0.0,18.0,0.0,90.64333333,0.0,97.17666667,0.0,0.0,0.0,0.0,58.0,0.0,132.6,0.0,24.0,0.0,55.22,0.0,1.333333333,52.33333333,45.0,0.0,0.333333333,1,61,2,1,U,A,N,1652,4228.0,1504.62,1453.44,4085.0,1602,29.66,83.37,32.69,272,116,30,322.0,136.0,38.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,2,2,WCMB,0.0,0.0,O,15.0,S,S,1.0,M,4.0,3.0,C,A,0.0,N,U,U,U,U,U,Y,361,False,-4559.8945,0.26594141288136813
1,57.4925,482.75,37.425,22.75,9.1,0.0,0.0,532.25,50.9875,8.333333333,0.0,1.0,0.0,61.33333333,0.0,263.3333333,0.0,69.0,0.0,193.3333333,0.0,1.666666667,6.333333333,5.463333333,53.0,0.333333333,189.3966667,0.0,55.28,46.33333333,24.21666667,6.333333333,3.696666667,83.66666667,0.0,75.33333333,0.0,157.0,0.0,169.3433333,0.0,9.333333333,263.3333333,193.3333333,0.0,5.666666667,0,56,1,1,N,EA,N,14654,26400.0,2851.68,2833.88,26367.0,14624,51.53,479.4,265.89,305,158,40,477.0,275.0,48.0,U,CHICAGO AREA,N,N,,7,6,WC,1.0,1.0,,1.0,S,S,1.0,M,5.0,1.0,C,A,0.0,Z,U,U,U,U,U,Y,240,True,8442.1055,2.3590226781861796
2,16.99,10.25,16.99,0.0,0.0,0.0,0.0,-4.25,0.0,0.333333333,0.0,0.0,0.0,2.666666667,0.0,9.0,0.0,0.333333333,0.0,6.0,0.0,0.0,0.0,0.0,0.333333333,0.0,5.426666667,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.193333333,0.0,1.0,0.0,0.233333333,0.0,0.333333333,9.0,6.0,0.0,0.0,1,58,1,1,Y,C,N,7903,24385.05333,2155.91,1934.47,24303.05,7888,34.54,433.98,140.86,12,7,17,11.0,6.0,17.0,S,GREAT LAKES AREA,N,N,29.98999023,2,1,,0.0,0.0,O,7.0,S,M,2.0,M,5.0,2.0,C,A,0.0,N,U,Y,U,U,U,Y,1504,False,1691.1054999999997,1.2722366743350195
3,38.0,7.5,38.0,0.0,0.0,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.666666667,0.0,1.333333333,0.0,3.666666667,0.0,0.0,0.0,0.0,1.333333333,0.0,8.41,0.0,0.413333333,0.333333333,0.256666667,0.0,0.0,1.333333333,0.0,3.38,0.0,3.666666667,0.0,5.45,0.0,0.0,3.666666667,3.666666667,0.0,0.0,0,60,1,1,Y,B,N,1502,3065.0,2000.9,1941.81,3035.0,1479,40.45,63.23,30.81,8,3,38,50.0,25.0,40.0,T,CHICAGO AREA,N,N,29.98999023,1,1,,0.0,0.0,,6.0,M,M,4.0,M,6.0,1.0,C,D,0.0,U,Y,U,U,U,U,Y,1812,False,-4709.8945,0.2417941901621156
4,55.23,570.5,71.98,0.0,0.0,0.0,0.0,38.5,0.0,9.666666667,0.0,0.666666667,0.0,77.0,0.0,222.3333333,0.0,94.66666667,0.0,137.0,0.0,8.666666667,15.0,11.07666667,66.0,0.0,285.2333333,0.0,106.33,14.66666667,10.81666667,0.666666667,0.366666667,97.33333333,0.0,173.4766667,0.0,90.33333333,0.0,218.0866667,0.0,10.33333333,222.3333333,137.0,0.0,0.0,0,57,1,1,Y,A,N,4485,14028.0,2181.12,2166.48,13965.0,4452,38.69,249.38,79.5,558,191,55,586.0,196.0,80.0,U,NEW ENGLAND AREA,Y,N,149.9899902,6,4,WCMB,0.0,0.0,R,5.0,M,S,1.0,M,6.0,1.0,C,O,0.0,I,U,U,U,U,U,Y,434,False,-1726.8945000000003,0.7220019593056514
5,82.275,1312.25,75.0,0.0,0.0,0.0,0.0,156.75,8.145,52.0,0.0,7.666666667,0.0,76.0,0.0,702.0,0.0,365.0,0.0,577.3333333,0.0,4.333333333,11.0,7.753333333,301.6666667,1.333333333,369.5366667,0.0,200.32,370.3333333,243.2133333,147.0,85.14666667,555.6666667,0.0,382.0966667,0.0,303.6666667,0.0,187.76,0.0,59.66666667,702.0,577.3333333,0.0,22.66666667,0,59,2,2,Y,C,N,26812,40869.0,4033.98,3932.9,40295.0,26362,83.68,857.34,560.89,1260,960,80,1187.0,853.0,78.0,U,GREAT LAKES AREA,N,N,129.9899902,9,4,WCMB,0.0,0.0,O,1.0,,S,1.0,M,6.0,1.0,C,,0.0,U,U,U,U,U,U,Y,458,True,20600.105499999998,4.316235570323997
6,17.145,0.0,16.99,0.0,0.0,0.0,0.0,0.0,-0.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,53,2,2,N,A,N,6279,17390.03333,3091.7,3065.24,17371.03,6271,58.95,334.06,120.6,0,0,17,0.0,0.0,17.0,C,DALLAS AREA,Y,N,29.98999023,4,3,,0.0,0.0,O,8.0,S,M,3.0,M,9.0,,I,A,0.0,N,U,U,U,U,U,Y,852,False,67.10549999999967,1.010802743027912
7,38.0525,682.5,52.49,0.0,0.0,0.0,0.0,147.5,-3.0625,9.0,0.0,1.666666667,0.0,13.0,0.0,97.0,0.0,13.0,0.0,73.33333333,0.0,0.666666667,5.333333333,5.276666667,5.0,0.0,470.0233333,0.0,42.19666667,6.666666667,6.23,0.0,0.0,33.33333333,0.0,81.06666667,0.0,53.0,0.0,431.1533333,0.0,10.66666667,97.0,73.33333333,0.0,0.666666667,0,53,1,1,Y,B,N,4491,12492.0,1427.71,1423.06,12439.0,4470,34.71,303.39,109.02,633,96,39,719.0,112.0,58.0,,DALLAS AREA,Y,N,79.98999023,3,2,WCMB,0.0,0.0,R,0.0,S,M,2.0,M,1.0,2.0,C,A,1.0,S,U,U,U,U,U,Y,231,False,-1720.8945000000003,0.7229678482144215
8,97.3375,1039.0,50.0,419.5,41.95,0.0,0.0,198.0,23.2625,12.66666667,0.0,3.0,0.0,176.0,0.0,533.6666667,0.0,96.0,0.0,346.6666667,0.0,11.33333333,13.66666667,6.25,45.0,0.333333333,460.92,0.0,213.8533333,103.3333333,54.71333333,0.333333333,0.056666667,238.3333333,0.0,377.4533333,0.0,192.3333333,0.0,297.32,0.0,15.66666667,533.6666667,346.6666667,0.0,4.0,0,55,1,1,Y,B,N,16730,43231.05333,4404.44,4313.71,42943.05,16579,81.39,810.25,312.81,973,465,90,915.0,434.0,90.0,S,CHICAGO AREA,Y,N,29.98999023,3,3,,0.0,0.0,,3.0,M,M,3.0,M,4.0,1.0,C,E,0.0,F,U,U,U,U,U,N,700,True,10518.1055,2.693220240620635
9,31.6625,25.5,29.99,0.0,0.0,0.0,0.0,59.5,4.0275,0.0,0.0,1.0,0.0,2.333333333,0.0,6.666666667,0.0,0.0,0.0,3.333333333,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,1.666666667,0.0,1.866666667,0.0,1.666666667,0.0,1.933333333,0.0,1.0,6.666666667,3.333333333,0.0,0.0,0,57,2,2,N,A,N,391,994.0,1458.42,1457.84,976.0,377,26.51,17.75,6.85,6,3,30,54.0,7.0,34.0,C,DALLAS AREA,Y,N,79.98999023,2,2,WCMB,0.0,0.0,O,8.0,S,M,2.0,M,9.0,2.0,I,A,1.0,N,U,U,U,U,U,Y,601,False,-5820.8945,0.06294376055485167
10,62.1275,97.5,65.985,0.0,0.0,0.0,0.0,23.5,6.8225,0.0,0.0,0.333333333,0.0,4.0,0.0,19.33333333,0.333333333,0.0,0.0,15.0,0.333333333,4.0,98.66666667,96.92,0.0,0.0,136.4933333,0.056666667,0.0,3.666666667,15.36666667,0.0,0.0,7.666666667,0.333333333,66.07333333,0.056666667,7.333333333,0.0,70.42,0.0,0.333333333,19.66666667,15.33333333,0.0,0.0,0,59,2,2,Y,A,N,2392,6868.11,3290.73,3195.01,6620.11,2312,56.05,116.14,40.56,90,16,60,123.0,32.0,64.0,C,DALLAS AREA,Y,N,79.98999023,3,3,WCMB,0.0,0.0,O,15.0,S,S,5.0,M,6.0,,C,A,0.0,N,Y,U,U,U,U,Y,464,False,-3819.8945000000003,0.38506771162968073
11,35.295,24.25,34.98,0.0,0.0,0.0,0.0,19.75,-0.315,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,2.333333333,0.0,5.533333333,0.0,2.386666667,4.0,2.926666667,1.666666667,1.516666667,9.333333333,0.0,7.17,0.0,1.666666667,0.0,0.75,0.0,0.0,9.0,8.0,0.0,0.0,0,53,3,3,Y,A,N,3207,5579.136667,3104.16,2796.06,5358.14,3087,54.82,105.06,60.53,18,13,36,36.0,26.0,36.0,C,CENTRAL/SOUTH TEXAS AREA,N,N,79.98999023,4,3,WC,0.0,0.0,O,4.0,S,A,3.0,M,9.0,,,A,0.0,N,U,U,Y,Y,U,Y,544,False,-3004.8945000000003,0.5162676217376196
12,81.0,1056.25,75.0,0.0,0.0,0.0,0.0,42.75,2.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55,1,1,Y,BA,N,31584,51857.07,4270.87,4181.91,51553.07,31397,78.9,972.7,592.4,1042,625,80,999.0,625.0,76.0,U,GREAT LAKES AREA,Y,N,199.9899902,9,5,WCMB,0.0,0.0,O,15.0,S,S,3.0,M,5.0,,B,A,0.0,J,U,U,U,U,U,Y,388,True,25372.105499999998,5.084439215765818
13,25.225,2.5,25.0,0.0,0.0,0.0,0.0,-2.5,-0.225,0.0,0.0,0.0,0.0,0.333333333,0.0,1.333333333,0.0,0.333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.306666667,0.0,1.133333333,0.333333333,0.023333333,0.0,0.0,0.666666667,0.0,2.2,0.0,0.666666667,0.0,0.24,0.0,0.0,1.333333333,1.0,0.0,0.0,0,53,2,2,Y,A,N,400,642.0,1370.94,1323.62,613.0,385,25.95,12.02,7.55,3,2,25,4.0,3.0,25.0,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2,2,WCMB,1.0,0.0,,1.0,S,U,1.0,M,7.0,,A,A,0.0,N,U,U,U,U,U,N,354,False,-5811.8945,0.06439259391800681
14,212.515,1971.5,84.99,249.5,99.8,0.0,35.4975,-200.5,-106.765,9.0,0.0,0.0,0.0,43.66666667,0.0,344.6666667,0.0,271.3333333,0.0,296.0,0.0,0.333333333,3.333333333,3.316666667,126.3333333,0.0,581.2966667,0.0,718.07,49.33333333,35.16333333,4.666666667,9.263333333,351.6666667,0.0,864.1733333,0.0,128.6666667,0.0,435.1933333,0.0,9.0,344.6666667,296.0,0.0,1.0,0,59,5,1,Y,C,N,33184,69161.08333,6616.72,6572.7,69104.08,33139,115.31,1212.35,581.39,2038,637,248,1817.0,576.0,182.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,10,6,WCMB,0.0,0.0,O,11.0,S,S,3.0,M,3.0,2.0,I,A,0.0,N,U,U,Y,U,U,Y,199,True,26972.105499999998,5.342009591437845
15,42.565,270.5,37.48,6.0,1.5,0.0,0.0,201.5,-1.785,3.333333333,0.0,1.666666667,0.0,7.666666667,0.0,67.66666667,0.0,25.33333333,0.0,55.33333333,0.0,1.0,1.666666667,1.026666667,11.66666667,0.0,117.8466667,0.0,57.09333333,11.0,10.81,3.666666667,4.0,62.33333333,0.0,136.7966667,0.0,18.0,0.0,38.14333333,0.0,5.0,67.66666667,55.33333333,0.0,0.333333333,0,55,2,2,N,B,N,7586,15226.03,2311.08,2303.38,15180.03,7560,43.46,286.42,142.64,203,106,43,222.0,115.0,41.0,S,DALLAS AREA,Y,N,79.98999023,5,4,WCMB,0.0,0.0,O,4.0,M,U,3.0,M,1.0,,,,0.0,N,U,Y,U,U,U,Y,697,False,1374.1054999999997,1.2212055436549993
16,63.0175,440.25,59.98,5.75,1.725,0.0,1.3125,-16.25,0.2125,5.0,0.0,0.0,0.0,17.33333333,0.0,138.3333333,0.0,53.0,0.0,118.0,0.0,3.666666667,10.66666667,8.27,22.0,0.333333333,225.0533333,0.0,93.87666667,0.0,0.0,0.0,0.0,141.3333333,0.0,268.56,0.0,14.33333333,0.0,50.37,0.0,5.0,138.3333333,118.0,0.0,1.666666667,0,57,1,1,N,B,N,4078,11330.0,1739.43,1722.98,11316.0,4067,50.68,332.82,119.62,446,193,63,429.0,183.0,64.0,T,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3,2,WCMB,0.0,0.0,O,3.0,S,U,2.0,M,3.0,1.0,C,A,0.0,N,U,U,U,U,U,Y,530,False,-2133.8945000000003,0.6564824949940795
17,35.59,153.0,29.99,16.0,5.6,0.0,0.0,30.0,7.35,2.0,0.0,0.666666667,0.0,17.33333333,0.0,53.0,0.0,26.0,0.0,33.33333333,0.0,0.0,0.0,0.0,14.66666667,0.0,50.13333333,0.0,33.10666667,8.0,10.94666667,4.666666667,5.253333333,48.33333333,0.0,77.15333333,0.0,7.0,0.0,6.086666667,0.0,2.666666667,53.0,33.33333333,0.0,0.333333333,0,59,3,2,N,A,N,7043,12661.0,2036.85,2013.28,12657.0,7041,36.61,230.13,128.02,143,76,33,135.0,73.0,32.0,U,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,79.98999023,6,5,WC,1.0,1.0,O,7.0,S,S,5.0,M,4.0,,C,A,0.0,N,U,U,U,U,Y,Y,48,False,831.1054999999997,1.133792597411305
18,55.27,1212.75,49.99,0.0,0.0,0.0,1.285,169.25,0.99,2.666666667,0.0,6.0,0.0,43.66666667,0.0,225.0,0.0,121.6666667,0.0,173.6666667,0.0,4.333333333,9.666666667,7.5,43.0,0.0,456.98,0.0,490.1266667,50.66666667,50.00666667,8.333333333,18.40666667,189.3333333,0.0,593.0866667,0.0,105.0,0.0,354.02,0.0,8.666666667,225.0,173.6666667,0.0,4.333333333,0,52,1,1,N,A,N,8468,23835.0,1935.97,1914.23,23524.0,8378,47.86,588.1,209.45,1156,254,55,1031.0,248.0,55.0,S,DALLAS AREA,Y,N,29.98999023,4,4,WC,0.0,0.0,O,10.0,S,B,1.0,M,3.0,1.0,C,A,0.0,N,U,U,U,U,U,Y,408,False,2256.1054999999997,1.3631912132442043
19,50.965,162.0,69.99,2.5,0.0,0.975,0.0,-58.0,-0.975,1.666666667,0.0,0.333333333,0.0,9.0,0.0,60.66666667,1.333333333,14.0,0.0,50.0,1.333333333,0.333333333,0.333333333,0.276666667,7.0,0.0,65.24666667,2.373333333,38.37333333,34.33333333,17.40666667,5.666666667,11.69,19.33333333,0.0,37.26666667,0.0,42.33333333,1.333333333,66.35333333,2.373333333,2.0,62.0,51.33333333,0.0,0.0,0,56,1,1,Y,B,N,1319,4531.016667,1348.33,1276.0,4504.02,1306,42.53,150.13,43.53,181,63,51,240.0,62.0,51.0,U,CHICAGO AREA,Y,N,129.9899902,4,3,WCMB,0.0,0.0,R,15.0,S,S,4.0,M,1.0,2.0,C,A,0.0,S,U,U,Y,Y,Y,N,253,False,-4892.8945,0.21233457844462747
20,172.44,1978.0,99.99,362.25,72.45,0.0,0.0,-1007.0,-72.45,7.333333333,0.0,18.0,0.0,114.3333333,0.0,760.3333333,0.0,157.6666667,0.0,622.0,0.0,0.333333333,1.0,0.94,69.0,0.666666667,1397.513333,0.0,515.2333333,22.66666667,22.08666667,2.666666667,8.476666667,718.0,0.0,1797.173333,0.0,60.33333333,0.0,115.5766667,0.0,25.33333333,760.3333333,622.0,0.0,20.33333333,1,58,2,1,U,A,N,28477,79406.01667,6751.7,6472.05,78927.02,28359,115.57,1409.41,506.41,2314,862,197,2192.0,810.0,163.0,U,TENNESSEE AREA,Y,N,149.9899902,4,3,WCMB,1.0,1.0,O,7.0,S,U,2.0,M,6.0,1.0,C,A,0.0,Z,U,U,U,U,U,Y,143,True,22265.105499999998,4.5842697425077
21,60.185,1424.5,56.25,0.0,0.0,0.0,0.0,-1134.5,-55.185,23.66666667,0.0,0.0,0.0,11.66666667,0.0,47.33333333,0.0,646.0,0.0,33.33333333,0.0,0.333333333,0.666666667,0.593333333,285.3333333,0.0,44.04,0.0,939.3466667,7.666666667,11.76666667,39.0,58.91333333,459.6666667,0.0,692.0166667,0.0,174.6666667,0.0,291.3733333,0.0,23.66666667,47.33333333,33.33333333,0.0,5.666666667,1,54,1,1,U,D,N,79038,117808.04,6005.39,5935.58,117230.04,78664,114.15,2254.42,1512.77,1803,1290,78,1720.0,1226.0,91.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,129.9899902,13,6,WCMB,1.0,1.0,,13.0,M,A,3.0,M,5.0,3.0,C,J,0.0,U,U,U,U,U,U,Y,162,True,72826.1055,12.723654595228556
22,244.0975,1771.5,99.99,546.25,136.5625,0.0,0.39,397.5,82.1325,28.66666667,0.0,1.333333333,0.0,31.0,0.0,323.6666667,0.0,276.3333333,0.0,276.3333333,0.0,0.0,0.0,0.0,134.3333333,0.0,591.74,0.0,680.1266667,71.0,109.3333333,29.66666667,167.88,435.6666667,0.0,1181.4,0.0,36.33333333,0.0,90.46666667,0.0,30.0,323.6666667,276.3333333,0.0,11.33333333,1,52,1,1,N,A,N,27530,64174.80667,7419.73,7341.87,63886.81,27398,143.96,1252.68,537.22,1639,601,217,1393.0,519.0,163.0,T,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,149.9899902,8,6,WCMB,0.0,0.0,,,,U,,,,,,,0.0,J,U,U,U,U,U,N,350,True,21318.105499999998,4.431820276406819
23,30.205,360.0,29.99,0.25,0.065,0.0,0.0,-105.0,-0.215,8.666666667,0.0,2.333333333,0.0,19.33333333,0.0,95.66666667,0.0,75.0,0.0,68.33333333,0.0,0.0,0.0,0.0,36.66666667,0.0,103.79,0.0,160.8566667,34.33333333,33.68,15.0,29.63333333,71.33333333,0.0,129.32,0.0,62.33333333,0.0,135.33,0.0,11.0,95.66666667,68.33333333,0.0,0.333333333,1,54,1,1,Y,G,N,5145,10451.09667,1122.8,1089.25,10356.1,5084,29.44,279.89,137.41,395,187,30,486.0,192.0,33.0,U,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,79.98999023,4,3,WCMB,1.0,1.0,O,15.0,S,M,4.0,M,5.0,1.0,,A,0.0,N,U,U,U,U,U,Y,652,False,-1066.8945000000003,0.8282497392703626
24,25.4925,299.5,24.99,0.75,0.2775,0.0,0.0,-47.5,-0.5025,2.0,0.0,0.666666667,0.0,14.33333333,0.0,74.0,0.0,47.0,0.0,57.66666667,0.0,1.0,1.666666667,1.2,25.66666667,0.333333333,174.25,0.0,77.48666667,6.333333333,7.38,5.0,9.823333333,45.66666667,0.0,83.17333333,0.0,52.33333333,0.0,168.5633333,0.0,2.666666667,74.0,57.66666667,0.0,0.333333333,0,52,2,2,Y,B,N,4761,14984.0,1312.65,1297.63,14983.0,4760,25.44,293.78,93.33,315,128,26,292.0,97.0,26.0,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,2,2,WCMB,0.0,0.0,O,0.0,S,M,1.0,M,6.0,,A,A,0.0,N,U,U,U,U,U,N,752,False,-1450.8945000000003,0.766432849109076
25,29.99,47.0,29.99,0.0,0.0,0.0,0.0,14.0,0.0,0.333333333,0.0,0.0,0.0,2.333333333,0.0,26.33333333,0.0,2.0,0.0,23.66666667,0.0,0.0,0.0,0.0,1.666666667,0.0,23.06,0.0,1.04,10.0,5.796666667,1.666666667,1.04,22.0,0.0,16.83666667,0.0,3.333333333,0.0,7.263333333,0.0,0.333333333,26.33333333,23.66666667,0.0,0.0,0,54,3,3,Y,A,N,2048,3896.0,1614.8,1588.22,3848.0,2019,31.76,76.96,40.38,42,27,30,64.0,31.0,31.0,C,NORTHWEST/ROCKY MOUNTAIN AREA,Y,N,59.98999023,3,3,WCMB,0.0,0.0,O,,M,U,2.0,M,9.0,2.0,C,,0.0,M,U,U,U,U,U,Y,573,False,-4163.8945,0.3296900808601949
26,51.025,382.25,48.79,0.75,0.075,0.0,0.0,226.75,2.695,19.66666667,0.0,3.666666667,0.0,34.66666667,0.0,175.6666667,0.0,84.0,0.0,124.6666667,0.0,0.666666667,0.666666667,0.033333333,47.33333333,0.0,151.33,0.0,104.2333333,5.0,5.833333333,0.0,0.0,110.6666667,0.0,135.0766667,0.0,72.0,0.0,120.4866667,0.0,23.33333333,175.6666667,124.6666667,0.0,4.333333333,1,52,1,1,Y,B,N,13600,30020.16,3513.41,3410.02,29860.16,13535,71.04,622.09,281.98,307,174,50,352.0,218.0,50.0,S,NORTHWEST/ROCKY MOUNTAIN AREA,N,N,29.98999023,3,2,WC,0.0,0.0,O,1.0,M,M,2.0,M,9.0,1.0,C,C,0.0,N,U,U,U,U,Y,Y,265,True,7388.1055,2.189348193212232
27,37.6625,971.75,35.99,4.75,1.425,0.0,0.0,25.25,-1.6725,4.0,0.0,0.0,0.0,42.66666667,0.0,343.0,0.0,99.33333333,0.0,297.6666667,0.0,0.0,0.0,0.0,48.66666667,0.0,509.8,0.0,244.6433333,20.0,20.48333333,8.0,26.29666667,206.3333333,0.0,367.47,0.0,170.3333333,0.0,386.9733333,0.0,4.0,343.0,297.6666667,0.0,0.0,0,58,1,1,Y,A,N,8893,16916.0,1944.11,1906.69,16904.0,8887,41.45,367.48,193.2,963,376,38,932.0,377.0,53.0,U,GREAT LAKES AREA,Y,N,149.9899902,2,2,WCMB,0.0,0.0,,,M,S,2.0,M,1.0,1.0,G,,0.0,H,U,U,U,U,U,Y,452,False,2681.1054999999997,1.4316083442820864
28,98.4225,608.0,94.99,41.5,7.125,5.07,0.0,-563.0,-12.4425,8.666666667,0.0,0.333333333,0.0,70.66666667,0.0,273.3333333,11.33333333,55.0,0.0,194.6666667,11.33333333,0.0,0.0,0.0,34.33333333,1.0,387.3466667,9.54,57.21,24.66666667,28.87666667,6.666666667,7.15,146.6666667,11.33333333,293.4966667,9.54,89.66666667,0.0,151.06,0.0,9.0,284.6666667,206.0,0.0,4.666666667,1,56,5,4,N,A,N,17915,42715.0,3829.33,3530.39,42354.0,17729,65.38,784.33,328.31,796,316,103,827.0,341.0,101.0,S,NEW ENGLAND AREA,Y,R,99.98999023,5,3,WCMB,0.0,0.0,O,10.0,M,B,1.0,M,6.0,2.0,C,,0.0,G,U,U,U,U,U,Y,183,True,11703.1055,2.88398330010273
29,30.26,34.5,29.99,0.0,0.0,0.0,0.0,32.5,-0.27,0.0,0.0,0.0,0.0,0.666666667,0.0,14.0,0.0,1.0,0.0,13.33333333,0.0,0.0,0.0,0.0,0.666666667,0.0,16.11333333,0.0,0.52,0.333333333,0.906666667,0.0,0.0,14.33333333,0.0,16.63333333,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.33333333,0.0,0.0,0,52,1,1,Y,B,N,3745,6020.0,2204.39,2152.22,5959.0,3703,43.04,119.18,74.06,24,13,31,19.0,11.0,31.0,C,CENTRAL/SOUTH TEXAS AREA,Y,N,59.98999023,2,2,WCMB,0.0,0.0,,,,U,,,,,,,0.0,S,U,U,U,U,U,N,319,False,-2466.8945000000003,0.6028756605573388
